date,sentiment
2022-09-16,0.037898906858856544
2022-09-17,0.05982062515665427
2022-09-18,0.03590751117639532
2022-09-19,0.05009377336729788
2022-09-20,0.06195844913589831
2022-09-21,0.05214672698530423
2022-09-22,0.05363325546184695
2022-09-23,0.04922219736163163
2022-09-24,0.05784256820922796
2022-09-25,0.06226878019699464
2022-09-26,0.049104289095494136
2022-09-27,0.052399398815032874
2022-09-28,0.042844607631313564
2022-09-29,0.06356985739656719
2022-09-30,0.04784786647507045
2022-10-01,0.05691460505259711
2022-10-02,0.02922171677113085
2022-10-03,0.057347996211168234
2022-10-04,0.04828991435531566
2022-10-05,0.043908993239612476
2022-10-06,0.054255428423956135
2022-10-07,0.049308149284093106
2022-10-08,0.053600918127017644
2022-10-09,0.05585943251653345
2022-10-10,0.04008405686867643
